type,url,modify,title,date,duration,description,thumbnail,tags,extra1,extra2
video,https://www.youtube.com/watch?v=rVoj_wPmg7w,,Power Query Tips: SQL Script from Files (part 1),2021-06-23,09:05,"In this video, I show you how to modify your query based on a SQL script. Normally, you would need to copy and paste the code any time you change the script. But with some M magic, we can point Pow...",https://i.ytimg.com/vi/rVoj_wPmg7w/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=Qo2FQxuh9Ks,,Power Query Tips: SQL Script from Files (part 2),2021-06-29,07:08,"In the last video, I showed you how to modify your query based on a SQL script. Now we are taking it one step forward and turn it into a function that bulk loads multiple SQL scripts. 

If you have...",https://i.ytimg.com/vi/Qo2FQxuh9Ks/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=jqkVLAB49oE,,Power Query: Using M to make your work reusable (Advanced),2021-05-19,14:51,Power Query allows us to clean data with just some clicks. But you need to get your hands dirty with the M language to make your work truly re-usable. In this tutorial I walk you through a real-wor...,https://i.ytimg.com/vi/jqkVLAB49oE/maxresdefault.jpg,,,
talk,https://amsterdam.nerdnite.com/2017/10/07/nerd-nite-34/,,,,,,,,,
talk,https://www.youtube.com/watch?v=prhUEW-l32M,,Netherlands Tableau User Group - 30 April 2020,2020-05-04,54:52,"Agenda:
I didn't know Tableau could do that! Python + R use cases - Juan Manuel Perafan
The community and I - Simon Beaumont

Subscribe here: https://usergroups.tableau.com/netherlands",https://i.ytimg.com/vi/prhUEW-l32M/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=Qvw1dfPOLrk,,"Reading Data Books - Part 1: 3 tool-agnostic, data books you should read!",2021-12-30,03:49,"Here are 3 tool-agnostic, data books that I would recommend to any data professional. 

Dear Data by Giorgia Lupi and Stefanie Posavec: http://www.dear-data.com/theproject

Fundamentals of Data Vis...",https://i.ytimg.com/vi/Qvw1dfPOLrk/maxresdefault.jpg,,,
talk,https://www.meetup.com/san-francisco-dbt-meetup/events/307986150/,,"dbt Global Circuit Series: San Francisco, Thu, Jun 12, 2025, 3:00 PM   | Meetup",,,"In this meetup, we’ll dive into the latest tools and ideas we’ve been shipping — what they unlock, how they fit together, and why we built them the way we did. 🚶 Walk on o",https://secure.meetupstatic.com/photos/event/1/8/5/a/600_528486234.jpeg,,,
talk,,,,,,,,,,
talk,https://www.eventbrite.co.uk/e/insights-in-data-visualization-tickets-58093188290,,"Insights in Data Visualization Tickets, Thu 28 Mar 2019 at 18:30 | Eventbrite",,,"Eventbrite - Levi Claes presents Insights in Data Visualization - Thursday, 28 March 2019 at DE WINKELHAAK | HOUSE OF C, Antwerpen, Vlaanderen. Find event and ticket information.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F58335348%2F149188760893%2F1%2Foriginal.20190312-161519?w=1000&amp;auto=format%2Ccompress&amp;q=75&amp;sharp=10&amp;rect=0%2C104%2C680%2C340&amp;s=bc270ece27d544cf51579bcf19e23bb1,,,
video,https://www.youtube.com/watch?v=foulJr8hxmE,,Sentiment Analysis with Alteryx (Using the R tool)!,2021-04-21,21:15,"In this video, I show how to use the R tool in Alteryx to do sentiment analysis. Then, we turn it into a macro so that it can be further re-used. 

This is not an R tutorial and I don't explain sen...",https://i.ytimg.com/vi/foulJr8hxmE/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=V-cnwii9Rdk,,SQL Tutorial: Using SQLFiddle,2021-06-08,04:14,"SQLFiddle is a great tool if you want to test your SQL scripts. It is 100% web-based, you can use multiple SQL dialects, and it is easy to use. I personally use it to test my scripts with values th...",https://i.ytimg.com/vi/V-cnwii9Rdk/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=4HSnBRfqk9c,,SQL Tutorial: Working with NULL values in T-SQL,2021-06-08,09:34,"In this video, I walk you through a use case in which I had NULL values, empty strings, and a variable number of spaces. I show you my line of reasoning and walk you through the formulas I used, be...",https://i.ytimg.com/vi/4HSnBRfqk9c/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=rhi2KChl2Gw,,Tableau Calculation Mastery: 3 Ways to Split Columns,2019-11-01,19:26,"In this video I show you how to split a column in Tableau using 3 methods: 1) The easy way with Split 2) The Excel way with Find, Len, Left, and Right 3) The hard way with Regular Expressions",https://i.ytimg.com/vi/rhi2KChl2Gw/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=rvIuheMjXzA,,Tableau Calculation Mastery: Unpivoting & Last Date with Data,2021-07-13,10:15,In this tutorial I show you how to combine two advanced formulas. The first one is how to unpivot a column (turn one column into multiple) using LODs. The second I show you how to calculate the las...,https://i.ytimg.com/vi/rvIuheMjXzA/maxresdefault.jpg,,,
video,https://www.youtube.com/watch?v=E1pOuSccfYY,,Tableau Fun: Using Unicode characters instead of Custom Shapes,2019-10-23,04:51,"If your two axes are occupied, you can also use Unicode characters in your calculations as if they were custom shapes.",https://i.ytimg.com/vi/E1pOuSccfYY/maxresdefault.jpg,,,
